"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","High income","HIC","2014","87.100","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Latin America & Caribbean","LCN","2021","61.780","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Latin America & Caribbean","LCN","2017","43.390","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Latin America & Caribbean","LCN","2014","40.490","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Latin America & Caribbean (excluding high income)","LAC","2021","60.660","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Latin America & Caribbean (excluding high income)","LAC","2017","42.680","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Latin America & Caribbean (excluding high income)","LAC","2014","40.080","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Low & middle income","LMY","2021","52.240","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Low & middle income","LMY","2017","39.220","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Low & middle income","LMY","2014","31.000","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Low income","LIC","2021","31.220","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Low income","LIC","2017","17.840","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Low income","LIC","2014","10.050","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Lower middle income","LMC","2021","32.330","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Lower middle income","LMC","2017","25.350","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Lower middle income","LMC","2014","18.770","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Middle East & North Africa","MEA","2021","38.260","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Middle East & North Africa","MEA","2017","29.110","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Middle East & North Africa (excluding high income)","MNA","2021","33.710","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Middle East & North Africa (excluding high income)","MNA","2017","26.310","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Middle income","MIC","2021","52.920","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Middle income","MIC","2017","40.510","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Middle income","MIC","2014","32.310","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","North America","NAC","2021","95.980","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","North America","NAC","2017","91.520","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","North America","NAC","2014","94.150","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","OECD members","OED","2021","96.220","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","OECD members","OED","2017","91.270","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","OECD members","OED","2014","88.850","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","South Asia","SAS","2021","26.480","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","South Asia","SAS","2017","20.460","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","South Asia","SAS","2014","12.100","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Sub-Saharan Africa","SSF","2021","43.570","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Sub-Saharan Africa","SSF","2017","29.510","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Sub-Saharan Africa","SSF","2014","24.040","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Sub-Saharan Africa (excluding high income)","SSA","2021","43.570","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Sub-Saharan Africa (excluding high income)","SSA","2017","29.510","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Sub-Saharan Africa (excluding high income)","SSA","2014","24.040","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Upper middle income","UMC","2021","78.180","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Upper middle income","UMC","2017","57.550","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Upper middle income","UMC","2014","45.800","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","World","WLD","2021","60.620","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","World","WLD","2017","48.420","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","World","WLD","2014","41.440","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Afghanistan","AFG","2021","3.960","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Afghanistan","AFG","2017","4.080","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Afghanistan","AFG","2014","1.120","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Albania","ALB","2021","34.900","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Albania","ALB","2017","27.750","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Albania","ALB","2014","21.410","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Algeria","DZA","2021","23.080","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Algeria","DZA","2017","19.620","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Algeria","DZA","2014","18.940","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Angola","AGO","2014","18.390","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Argentina","ARG","2021","64.360","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Argentina","ARG","2017","42.460","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Argentina","ARG","2014","39.260","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Armenia","ARM","2021","43.300","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Armenia","ARM","2017","33.900","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Armenia","ARM","2014","10.190","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Australia","AUS","2021","99.870","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Australia","AUS","2017","96.150","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Australia","AUS","2014","97.600","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Austria","AUT","2021","98.930","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Austria","AUT","2017","95.240","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Austria","AUT","2014","94.560","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Azerbaijan","AZE","2022","34.780","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Azerbaijan","AZE","2017","22.890","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Azerbaijan","AZE","2014","17.890","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bahrain","BHR","2017","65.710","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bahrain","BHR","2014","54.190","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bangladesh","BGD","2021","33.560","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bangladesh","BGD","2017","21.210","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bangladesh","BGD","2014","4.580","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Belarus","BLR","2017","78.140","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Belarus","BLR","2014","65.910","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Belgium","BEL","2021","97.260","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Belgium","BEL","2017","96.900","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Belgium","BEL","2014","96.930","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Belize","BLZ","2014","31.700","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Benin","BEN","2021","36.950","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Benin","BEN","2017","18.890","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Benin","BEN","2014","5.550","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bhutan","BTN","2014","12.810","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bolivia","BOL","2021","47.600","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bolivia","BOL","2017","36.290","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bolivia","BOL","2014","24.180","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bosnia and Herzegovina","BIH","2021","56.320","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bosnia and Herzegovina","BIH","2017","45.170","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bosnia and Herzegovina","BIH","2014","26.860","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Botswana","BWA","2022","46.930","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Botswana","BWA","2017","38.720","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Botswana","BWA","2014","42.440","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Brazil","BRA","2021","72.570","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Brazil","BRA","2017","57.270","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Brazil","BRA","2014","55.010","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bulgaria","BGR","2021","74.410","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bulgaria","BGR","2017","67.290","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Bulgaria","BGR","2014","51.350","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Burkina Faso","BFA","2021","27.380","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Burkina Faso","BFA","2017","30.060","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Burkina Faso","BFA","2014","7.550","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Burundi","BDI","2014","4.170","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cambodia","KHM","2021","23.900","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cambodia","KHM","2017","15.140","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cambodia","KHM","2014","16.390","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cameroon","CMR","2021","47.790","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cameroon","CMR","2017","22.770","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cameroon","CMR","2014","6.550","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Canada","CAN","2021","98.360","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Canada","CAN","2017","97.230","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Canada","CAN","2014","98.260","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Central African Republic","CAF","2017","6.150","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Chad","TCD","2022","18.750","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Chad","TCD","2017","13.600","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Chad","TCD","2014","6.950","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Chile","CHL","2021","84.120","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Chile","CHL","2017","61.350","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Chile","CHL","2014","49.060","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","China","CHN","2021","84.930","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","China","CHN","2017","62.840","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","China","CHN","2014","47.130","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Colombia","COL","2021","48.390","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Colombia","COL","2017","33.230","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Colombia","COL","2014","28.620","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Comoros","COM","2022","13.810","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Congo, Dem. Rep.","COD","2022","19.270","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Congo, Dem. Rep.","COD","2017","18.990","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Congo, Dem. Rep.","COD","2014","13.100","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Congo, Rep.","COG","2021","40.400","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Congo, Rep.","COG","2017","13.520","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Congo, Rep.","COG","2014","9.020","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Costa Rica","CRI","2021","52.860","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Costa Rica","CRI","2017","50.940","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Costa Rica","CRI","2014","47.540","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cote d'Ivoire","CIV","2021","34.970","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cote d'Ivoire","CIV","2017","33.180","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cote d'Ivoire","CIV","2014","26.320","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Croatia","HRV","2021","84.670","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Croatia","HRV","2017","79.110","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Croatia","HRV","2014","74.480","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cyprus","CYP","2021","86.330","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cyprus","CYP","2017","82.170","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Cyprus","CYP","2014","73.450","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Czechia","CZE","2021","92.220","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Czechia","CZE","2017","77.000","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Czechia","CZE","2014","77.090","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Denmark","DNK","2021","100.000","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Denmark","DNK","2017","99.220","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Denmark","DNK","2014","99.390","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Dominican Republic","DOM","2021","35.510","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Dominican Republic","DOM","2017","41.260","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Dominican Republic","DOM","2014","37.520","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ecuador","ECU","2021","40.390","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ecuador","ECU","2017","23.860","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ecuador","ECU","2014","16.800","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Egypt, Arab Rep.","EGY","2021","16.190","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Egypt, Arab Rep.","EGY","2017","16.780","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Egypt, Arab Rep.","EGY","2014","3.990","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","El Salvador","SLV","2021","22.500","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","El Salvador","SLV","2017","18.280","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","El Salvador","SLV","2014","25.860","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Estonia","EST","2021","99.400","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Estonia","EST","2017","97.520","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Estonia","EST","2014","96.430","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Eswatini","SWZ","2022","67.900","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ethiopia","ETH","2022","15.410","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ethiopia","ETH","2017","8.160","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ethiopia","ETH","2014","6.800","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Finland","FIN","2021","98.510","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Finland","FIN","2017","97.550","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Finland","FIN","2014","98.340","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","France","FRA","2021","99.120","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","France","FRA","2017","90.070","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","France","FRA","2014","91.420","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Gabon","GAB","2021","61.030","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Gabon","GAB","2017","49.090","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Gabon","GAB","2014","22.650","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Gambia, The","GMB","2022","16.320","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Gambia, The","GMB","2017","15.030","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Georgia","GEO","2021","63.970","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Georgia","GEO","2017","54.880","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Georgia","GEO","2014","20.320","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Germany","DEU","2021","99.290","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Germany","DEU","2017","97.830","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Germany","DEU","2014","96.440","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ghana","GHA","2021","59.430","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ghana","GHA","2017","43.980","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ghana","GHA","2014","22.790","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Greece","GRC","2021","88.400","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Greece","GRC","2017","71.110","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Greece","GRC","2014","57.260","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Guatemala","GTM","2022","22.660","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Guatemala","GTM","2017","31.680","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Guatemala","GTM","2014","23.870","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Guinea","GIN","2021","21.480","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Guinea","GIN","2017","16.550","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Guinea","GIN","2014","3.420","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Haiti","HTI","2017","25.370","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Haiti","HTI","2014","10.280","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Honduras","HND","2021","23.570","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Honduras","HND","2017","31.830","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Honduras","HND","2014","19.980","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Hong Kong SAR, China","HKG","2021","91.610","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Hong Kong SAR, China","HKG","2017","83.480","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Hong Kong SAR, China","HKG","2014","85.120","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Hungary","HUN","2021","84.580","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Hungary","HUN","2017","68.960","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Hungary","HUN","2014","65.320","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Iceland","ISL","2021","100.000","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","India","IND","2021","27.980","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","India","IND","2017","22.440","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","India","IND","2014","14.190","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Indonesia","IDN","2021","38.700","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Indonesia","IDN","2017","35.490","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Indonesia","IDN","2014","24.160","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Iran, Islamic Rep.","IRN","2021","76.980","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Iran, Islamic Rep.","IRN","2017","84.520","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Iran, Islamic Rep.","IRN","2014","81.180","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Iraq","IRQ","2021","11.370","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Iraq","IRQ","2017","15.450","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Iraq","IRQ","2014","1.590","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ireland","IRL","2021","98.470","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ireland","IRL","2017","93.420","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Ireland","IRL","2014","87.570","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Israel","ISR","2021","90.070","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Israel","ISR","2017","91.830","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Israel","ISR","2014","85.800","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Italy","ITA","2021","95.150","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Italy","ITA","2017","87.360","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Italy","ITA","2014","64.610","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Jamaica","JAM","2021","45.640","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Jamaica","JAM","2014","44.790","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Japan","JPN","2021","95.660","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Japan","JPN","2017","95.780","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Japan","JPN","2014","91.270","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Jordan","JOR","2021","24.190","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Jordan","JOR","2017","20.240","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Jordan","JOR","2014","7.660","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kazakhstan","KAZ","2021","81.780","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kazakhstan","KAZ","2017","55.630","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kazakhstan","KAZ","2014","46.740","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kenya","KEN","2021","73.760","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kenya","KEN","2017","74.680","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kenya","KEN","2014","66.990","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Korea, Rep.","KOR","2021","97.730","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Korea, Rep.","KOR","2017","92.250","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Korea, Rep.","KOR","2014","88.900","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kosovo","XKX","2021","36.780","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kosovo","XKX","2017","29.350","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kosovo","XKX","2014","22.230","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kuwait","KWT","2017","67.440","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kuwait","KWT","2014","55.980","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kyrgyz Republic","KGZ","2021","38.020","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kyrgyz Republic","KGZ","2017","35.040","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Kyrgyz Republic","KGZ","2014","15.800","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Lao PDR","LAO","2021","20.220","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Lao PDR","LAO","2017","14.720","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Latvia","LVA","2021","95.840","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Latvia","LVA","2017","92.150","female"
